name,label,type,groupName,isRequired,isUnique,isSearchable,description,options,defaultValue
email,Email,email,contact_information,TRUE,TRUE,TRUE,The contact's primary email address,,
firstname,First Name,string,contact_information,FALSE,FALSE,TRUE,The contact's first name,,
lastname,Last Name,string,contact_information,FALSE,FALSE,TRUE,The contact's last name,,
phone,Phone Number,string,contact_information,FALSE,FALSE,TRUE,The contact's primary phone number,,
mobilephone,Mobile Phone Number,string,contact_information,FALSE,FALSE,TRUE,The contact's mobile phone number,,
company,Company Name,string,contact_information,FALSE,FALSE,TRUE,The name of the contact's company,,
jobtitle,Job Title,string,contact_information,FALSE,FALSE,TRUE,The contact's job title,,
industry,Industry,select,contact_information,FALSE,FALSE,FALSE,The contact's industry,Airlines/Aviation;Banking;Construction;Consulting;Education;Energy;Healthcare;Insurance;Legal;Manufacturing;Media;Real Estate;Retail;Technology;Telecommunications;Transportation,
website,Website URL,url,contact_information,FALSE,FALSE,FALSE,The contact's company website,,
address,Street Address,string,contact_information,FALSE,FALSE,FALSE,The contact's street address,,
city,City,string,contact_information,FALSE,FALSE,TRUE,The contact's city of residence,,
state,State/Region,string,contact_information,FALSE,FALSE,FALSE,The contact's state of residence,,
zip,Postal Code,string,contact_information,FALSE,FALSE,FALSE,The contact's zip code,,
country,Country/Region,string,contact_information,FALSE,FALSE,FALSE,The contact's country of residence,,
lifecyclestage,Lifecycle Stage,select,contact_information,FALSE,FALSE,TRUE,The contact's position in the marketing/sales process,subscriber;lead;marketingqualifiedlead;salesqualifiedlead;opportunity;customer;evangelist;other,lead
lead_status,Lead Status,select,contact_information,FALSE,FALSE,TRUE,Where the contact is within a buying cycle as a lead,new;open;inprogress;qualified;unqualified,new
salutation,Salutation,select,contact_information,FALSE,FALSE,FALSE,The title used to address the contact,Mr.;Ms.;Mrs.;Dr.;Prof.,
fax,Fax Number,string,contact_information,FALSE,FALSE,FALSE,The contact's primary fax number,,
annualrevenue,Annual Revenue,number,contact_information,FALSE,FALSE,FALSE,The contact's annual company revenue,,
numemployees,Number of Employees,number,contact_information,FALSE,FALSE,FALSE,The number of company employees,,
createdate,Create Date,datetime,system_information,TRUE,FALSE,FALSE,The date the contact was created,,
lastmodifieddate,Last Modified Date,datetime,system_information,TRUE,FALSE,FALSE,The most recent date any property was updated,,
cl_object_id,Record ID,number,system_information,TRUE,TRUE,FALSE,The unique identifier for the contact,,
hubspot_owner_id,Contact Owner,string,system_information,FALSE,FALSE,FALSE,The contact's owner,,
notes_last_contacted,Last Contacted,datetime,sales_information,FALSE,FALSE,FALSE,The last date and time a logged activity occurred,,
notes_last_updated,Last Activity Date,datetime,sales_information,FALSE,FALSE,FALSE,The last date any activity was logged,,
num_contacted_notes,Number of Times Contacted,number,sales_information,FALSE,FALSE,FALSE,The total number of logged sales activities,,
num_notes,Number of Sales Activities,number,sales_information,FALSE,FALSE,FALSE,The total number of sales activities logged,,
